name,good,bad
リョク,1,0
ポア,1,0
セリュ,1,0
トチャ,1,0
ノミュ,1,0
キャツ,1,0
タプ,1,0
シュナ,1,0
チュボ,1,0
テピ,1,0
ビャユ,1,0
ギョメ,1,0
ビャラ,1,0
ジス,1,0
ミョメ,1,0
リュメ,1,0
ザロ,1,0
チゼ,1,0
ネァ,1,0
マエ,1,0
ネピ,1,0
カァ,1,0
ゴテ,1,0
セロ,1,0
オキュ,1,0
レミ,1,0
エホ,1,0
チャヨ,1,0
リギュ,1,0
プム,1,0
ウハ,1,0
ミョパ,1,0
マセ,1,0
トガ,1,0
キャラ,1,0
ビャザ,1,0
キャリ,1,0
ウチャ,1,0
イメ,1,0
イピ,1,0
ビュデ,1,0
クソ,1,0
ベヨ,1,0
ホト,1,0
プー,1,0
テリ,1,0
ニナ,1,0
ヴン,1,0
ムゴ,1,0
ノマ,1,0
ラプ,1,0
ガリュ,1,0
ザジョ,1,0
ゼポ,1,0
リャシ,0,1
フビャ,0,1
ニャツ,0,1
ツシュ,0,1
ピャチョ,0,1
テキュ,0,1
ニュニ,0,1
シピョ,0,1
コダ,0,1
ミャフ,0,1
ペズ,0,1
ジャキャ,0,1
チョポ,0,1
ヌペ,0,1
ゼチ,0,1
ヒャキュ,0,1
ギュヴ,0,1
ギャギ,0,1
ギュペ,0,1
ケク,0,1
ピャデ,0,1
ヌヨ,0,1
ムペ,0,1
パバ,0,1
リュゾ,0,1
ピャベ,0,1
ヨキョ,0,1
ミュニャ,0,1
キョグ,0,1
ワヒャ,0,1
ガピ,0,1
ズギュ,0,1
ギュミュ,0,1
ボピャ,0,1
バピャ,0,1
ギバ,0,1
ヴガ,0,1
バド,0,1
ジャリョ,0,1
ニャジャ,0,1
ニュヒョ,0,1
シャヒュ,0,1
ニョギュ,0,1
リュビュ,0,1
ギャピュ,0,1
ギョピョ,0,1
