name,good,bad
ニャオ,1,0
ピュリ,1,0
チョム,1,0
ミュラ,1,0
ヒョミ,1,0
シュム,1,0
ピャモ,1,0
ベネ,1,0
リョン,1,0
ニォ,1,0
メヒュ,1,0
トバ,1,0
ヤミュ,1,0
チャレ,1,0
ケユ,1,0
ポヤ,1,0
コペ,1,0
コォ,1,0
クン,1,0
コェ,1,0
キラ,1,0
モチョ,1,0
リョシ,1,0
ミタ,1,0
キア,1,0
レニ,1,0
ラト,1,0
カー,1,0
ジャノ,1,0
ツロ,1,0
キビ,1,0
ピチ,1,0
ゲス,1,0
ウツ,1,0
ナシ,1,0
ウツ,1,0
コニ,1,0
オビ,1,0
セマ,1,0
カプ,1,0
テレ,1,0
レリュ,1,0
ポコ,1,0
バル,1,0
ゴサ,1,0
ナワ,1,0
バス,1,0
クサ,1,0
ホジ,1,0
ヤベ,1,0
タチ,1,0
アリャ,1,0
フレ,1,0
ラユ,1,0
シュボ,1,0
ゼシャ,1,0
ダト,0,1
モヒョ,0,1
ユソ,0,1
ニョワ,0,1
キャケ,0,1
コニャ,0,1
ゾタ,0,1
ドタ,0,1
ヌタ,0,1
ワヒ,0,1
ヒュゾ,0,1
デケ,0,1
エチュ,0,1
デケ,0,1
パガ,0,1
ホゴ,0,1
ウミョ,0,1
アプ,0,1
エビョ,0,1
リョセ,0,1
ヴジュ,0,1
テヒ,0,1
ワォ,0,1
ザピュ,0,1
ヨド,0,1
ニョタ,0,1
ヒヒ,0,1
デガ,0,1
プズ,0,1
ダジョ,0,1
ゲショ,0,1
ムム,0,1
ギキャ,0,1
ビュチャ,0,1
ブリョ,0,1
リャシュ,0,1
ドチュ,0,1
ニョミュ,0,1
ピヒョ,0,1
ペチョ,0,1
ジュビョ,0,1
キャヒュ,0,1
ヒャギャ,0,1
ヒョジュ,0,1
