name,good,bad
ロア,1,0
ミュサ,1,0
ネイ,1,0
ヌイ,1,0
カピ,1,0
ビャミ,1,0
ハァ,1,0
ギュワ,1,0
ニャム,1,0
チョネ,1,0
デク,1,0
ビネ,1,0
シリョ,1,0
オー,1,0
ラチ,1,0
ニョロ,1,0
テー,1,0
ヒリャ,1,0
セリャ,1,0
ヤケ,1,0
クネ,1,0
トァ,1,0
ヘキ,1,0
ハリュ,1,0
コヨ,1,0
ザヒ,1,0
サレ,1,0
ナヒュ,1,0
コト,1,0
キシ,1,0
メテ,1,0
ジャゼ,1,0
セネ,1,0
ジョド,1,0
ニャビ,1,0
ガル,1,0
ネラ,1,0
レピ,1,0
ザリュ,1,0
ヤー,1,0
パジャ,1,0
ニャシュ,1,0
ボエ,0,1
ゾエ,0,1
ウギュ,0,1
オピャ,0,1
カミョ,0,1
リョシ,0,1
コピュ,0,1
リビュ,0,1
ヤビョ,0,1
ピョヴ,0,1
カペ,0,1
ピャヒ,0,1
ピョヒ,0,1
ヒャス,0,1
シピャ,0,1
ギュツ,0,1
プコ,0,1
ニョト,0,1
キュト,0,1
プタ,0,1
ペセ,0,1
ペヤ,0,1
ムキャ,0,1
ビョプ,0,1
ジュプ,0,1
ヤヌ,0,1
フヌ,0,1
ニョブ,0,1
ミャプ,0,1
レチュ,0,1
ギビュ,0,1
ジビョ,0,1
ヌネ,0,1
レボ,0,1
ギャニュ,0,1
ピビ,0,1
ガヴ,0,1
ブビャ,0,1
ドダ,0,1
ピピュ,0,1
ゴァ,0,1
ブミョ,0,1
ショキャ,0,1
ズピ,0,1
バォ,0,1
ショキョ,0,1
ベキュ,0,1
ドペ,0,1
ジュリョ,0,1
プショ,0,1
デパ,0,1
ショギュ,0,1
ニャニュ,0,1
キャニュ,0,1
ニュジャ,0,1
ミャミョ,0,1
ミャミョ,0,1
リョギュ,0,1
