name,good,bad
アジョ,1,0
ヴイ,1,0
サレ,1,0
トチャ,1,0
ケヘ,1,0
イー,1,0
サメ,1,0
トサ,1,0
プウ,1,0
カノ,1,0
テコ,1,0
ゴウ,1,0
シュエ,1,0
オフ,1,0
ヒシ,1,0
エバ,1,0
スド,1,0
タグ,1,0
ウコ,1,0
ゴカ,1,0
パカ,1,0
ミツ,1,0
トゾ,1,0
ヴケ,1,0
プク,1,0
カォ,1,0
ヌプ,1,0
テワ,1,0
ラシ,1,0
チリュ,1,0
キギ,1,0
ソニ,1,0
ナテ,1,0
チュク,1,0
キチュ,1,0
ニワ,1,0
ジツ,1,0
シミャ,1,0
ヅフ,1,0
ミュス,1,0
チョソ,1,0
ヌハ,1,0
ドト,1,0
フハ,1,0
ピメ,1,0
ヘビ,1,0
ニュチ,1,0
ピニ,1,0
モミュ,1,0
ミビ,1,0
メィ,1,0
チョン,1,0
ピョネ,1,0
リャル,1,0
ミヅ,1,0
ジャミ,1,0
ジヨ,1,0
ビョロ,1,0
ゼル,1,0
メズ,1,0
ヤグ,1,0
ルゼ,1,0
プダ,1,0
ザブ,1,0
ジビ,1,0
ゴシャ,1,0
ダリョ,1,0
キャリュ,1,0
ウヴ,0,1
カギョ,0,1
ソヒョ,0,1
スヒャ,0,1
シヒャ,0,1
ヒュユ,0,1
ビャヴ,0,1
メヅ,0,1
ジッ,0,1
ガビョ,0,1
グビャ,0,1
ーヒュ,0,1
ゥゲ,0,1
ロヅ,0,1
ーゾ,0,1
ヂド,0,1
ゲベ,0,1
キョデ,0,1
キュヅ,0,1
ギキョ,0,1
キュベ,0,1
ブペ,0,1
ボポ,0,1
ズニュ,0,1
ゼリャ,0,1
ジョポ,0,1
ピャェ,0,1
ブギョ,0,1
ニュニョ,0,1
ィギュ,0,1
ミョギュ,0,1
ミャビュ,0,1
