name,good,bad
ミュズ,1,0
ウポ,1,0
ノヒ,1,0
ハキ,1,0
サキャ,1,0
ショナ,1,0
クセ,1,0
モダ,1,0
ニャア,1,0
ミュザ,1,0
ラィ,1,0
ヴカ,1,0
ザジュ,1,0
ハゼ,1,0
ビョム,1,0
ベラ,1,0
ビュク,1,0
コゴ,1,0
ケヴ,1,0
リナ,1,0
ホス,1,0
レゥ,1,0
ピチ,1,0
ジュセ,1,0
チダ,1,0
チュコ,1,0
ザゼ,1,0
キュシュ,1,0
ノフ,1,0
レポ,1,0
ノシ,1,0
ヌジャ,1,0
ホニョ,1,0
ロサ,1,0
ビャビ,1,0
ヨナ,1,0
ノザ,1,0
ピショ,1,0
セノ,1,0
スベ,1,0
ボケ,1,0
ユク,1,0
リュサ,1,0
キャシュ,1,0
ヴリ,1,0
ヒャラ,1,0
ヒオ,1,0
ジャア,1,0
ダモ,1,0
イシュ,1,0
ブユ,1,0
キョメ,1,0
ニフ,1,0
メレ,1,0
チュメ,1,0
ニャエ,1,0
グパ,1,0
ジャテ,1,0
アス,1,0
ジャド,1,0
ビプ,1,0
ハビュ,1,0
ヴビャ,0,1
ィィ,0,1
ピビ,0,1
チニャ,0,1
ワビャ,0,1
ブセ,0,1
キョヒ,0,1
ニャギュ,0,1
バペ,0,1
ヅト,0,1
ゥシャ,0,1
ズパ,0,1
シピャ,0,1
ブビュ,0,1
リョビョ,0,1
ルピュ,0,1
ヒャピュ,0,1
ヅゴ,0,1
ィァ,0,1
キャピュ,0,1
ユミョ,0,1
ピャビョ,0,1
ゥリョ,0,1
ジャペ,0,1
ワィ,0,1
パァ,0,1
ゥン,0,1
ノヨ,0,1
ノリャ,0,1
ニュゾ,0,1
ヒュミョ,0,1
ムリュ,0,1
ヂキ,0,1
リョユ,0,1
ピャペ,0,1
ッレ,0,1
ッヂ,0,1
ゴヒュ,0,1
