name,good,bad
セレ,1,0
キュリ,1,0
ピョカ,1,0
チャユ,1,0
トモ,1,0
ショニュ,1,0
リワ,1,0
ミャラ,1,0
ゼラ,1,0
ソヒ,1,0
メア,1,0
オニ,1,0
ジュナ,1,0
シャイ,1,0
テリョ,1,0
ホガ,1,0
レヒ,1,0
ユコ,1,0
ザモ,1,0
ソミャ,1,0
ゲク,1,0
グツ,1,0
ワテ,1,0
ピョノ,1,0
ジャヨ,1,0
ニャピョ,1,0
ユト,1,0
ネヒュ,1,0
ビボ,1,0
カカ,1,0
リエ,1,0
ゲハ,1,0
オヒャ,1,0
ゼコ,1,0
チュサ,1,0
チカ,1,0
コゥ,1,0
リョー,1,0
リュシャ,1,0
ダモ,1,0
ムカ,1,0
トチュ,1,0
スラ,1,0
ミコ,1,0
ハニュ,1,0
トシャ,1,0
ピュン,1,0
プリュ,1,0
リュパ,1,0
メジャ,1,0
ヤネ,1,0
ナソ,1,0
ニョラ,1,0
マギ,1,0
ムン,1,0
ガヘ,1,0
チャポ,1,0
プロ,1,0
タギョ,1,0
ミニョ,1,0
ヒョレ,1,0
クジャ,1,0
ズロ,1,0
ノオ,1,0
ルユ,1,0
キャメ,1,0
リヨ,1,0
ツバ,1,0
ツミュ,1,0
ヅシャ,0,1
ゴキャ,0,1
ギョシャ,0,1
ヌゼ,0,1
ーナ,0,1
スギャ,0,1
ジョペ,0,1
キョヂ,0,1
ァショ,0,1
リョキャ,0,1
ァド,0,1
ァヒュ,0,1
シャニャ,0,1
ダピャ,0,1
ヅピ,0,1
ズゥ,0,1
ホッ,0,1
ィザ,0,1
ブショ,0,1
ヂレ,0,1
パシャ,0,1
ゲジョ,0,1
ヨビュ,0,1
ビヴ,0,1
ミョミ,0,1
カヒョ,0,1
ヘペ,0,1
リュヒョ,0,1
ロキョ,0,1
ゾソ,0,1
レニョ,0,1
