name,good,bad
シュア,1,0
ケホ,1,0
トシャ,1,0
ゼア,1,0
ゾア,1,0
ヌカ,1,0
オチ,1,0
テバ,1,0
ツデ,1,0
エブ,1,0
ヒス,1,0
メエ,1,0
ソム,1,0
ミャエ,1,0
ニャカ,1,0
ドク,1,0
ビョカ,1,0
ニボ,1,0
ロシ,1,0
チョク,1,0
ハィ,1,0
ザヌ,1,0
デセ,1,0
キュス,1,0
ェス,1,0
ドチ,1,0
ナハ,1,0
ミヌ,1,0
バマ,1,0
ジマ,1,0
レヒ,1,0
ブフ,1,0
プユ,1,0
ニミ,1,0
キャネ,1,0
ニュニ,1,0
モミョ,1,0
キョミ,1,0
メシュ,1,0
ジャナ,1,0
ニュヒ,1,0
チョフ,1,0
ニュー,1,0
ヅラ,1,0
リョー,1,0
リョン,1,0
ミヅ,1,0
ギュワ,1,0
ジャレ,1,0
ギョム,1,0
ムズ,1,0
リグ,1,0
ェガ,1,0
ドガ,1,0
ギジョ,1,0
チョザ,1,0
ショザ,1,0
ゴズ,1,0
ギリュ,1,0
キュザ,1,0
ロァ,1,0
ニュダ,1,0
ドベ,1,0
リュバ,1,0
ガシュ,1,0
グシュ,1,0
ジョジョ,1,0
ペキ,0,1
チビュ,0,1
ヒキョ,0,1
ソギャ,0,1
キキュ,0,1
ゥト,0,1
ビュツ,0,1
ィル,0,1
ヤヤ,0,1
リャッ,0,1
ッヨ,0,1
ギョヤ,0,1
グゲ,0,1
ゾギ,0,1
バガ,0,1
ッゴ,0,1
パヂ,0,1
キョピ,0,1
ヒャピ,0,1
ヒャピ,0,1
ブキャ,0,1
ベヒャ,0,1
シャゥ,0,1
ショェ,0,1
ブリャ,0,1
ペミュ,0,1
プリョ,0,1
ォリャ,0,1
キャリュ,0,1
ジャニュ,0,1
ショビョ,0,1
シャピョ,0,1
ミョピャ,0,1
