name,good,bad
マミョ,1,0
ニゥ,1,0
ヒュオ,1,0
ケヴ,1,0
ニャロ,1,0
ヤゾ,1,0
キャビ,1,0
ヒャサ,1,0
テジャ,1,0
デパ,1,0
ミャビ,1,0
イミョ,1,0
ヤテ,1,0
チィ,1,0
スク,1,0
ラジュ,1,0
シャゼ,1,0
ロチュ,1,0
チニョ,1,0
ゲノ,1,0
セカ,1,0
ウタ,1,0
ヘチャ,1,0
ツピ,1,0
ホヨ,1,0
ドシ,1,0
ホミャ,1,0
ヒュダ,1,0
ビャン,1,0
ルピャ,1,0
セォ,1,0
ベミュ,1,0
アレ,1,0
ボネ,1,0
シャケ,1,0
リュジュ,1,0
レピュ,1,0
ドサ,1,0
ユロ,1,0
ジャグ,1,0
モブ,1,0
ニュテ,1,0
ヌシ,1,0
キュゼ,1,0
ラシュ,1,0
ソジャ,1,0
ガロ,1,0
キュボ,1,0
ジタ,1,0
ヒャム,1,0
ルオ,1,0
ヤモ,1,0
ビュセ,1,0
リソ,1,0
ダシャ,1,0
ゲユ,1,0
リャク,1,0
ゴチ,1,0
ショカ,1,0
ワイ,1,0
ナシャ,1,0
ホオ,1,0
テジ,1,0
ヤセ,1,0
ヒョリ,1,0
ヴレ,1,0
ヴグ,0,1
キュミャ,0,1
リピャ,0,1
ィジ,0,1
ォハ,0,1
ゥギョ,0,1
ラヅ,0,1
モボ,0,1
リョリ,0,1
ピャッ,0,1
ミミョ,0,1
ギャゥ,0,1
ジュミョ,0,1
ィギャ,0,1
ボピュ,0,1
ピュジョ,0,1
ゾキュ,0,1
ナア,0,1
ボグ,0,1
ゾビ,0,1
ミュェ,0,1
チャニャ,0,1
ジギャ,0,1
ミョキョ,0,1
ズリュ,0,1
チョユ,0,1
ズツ,0,1
ギョト,0,1
ァチョ,0,1
ンゥ,0,1
キョヒュ,0,1
リリョ,0,1
ミョギ,0,1
プヘ,0,1
