name,good,bad
コカ,1,0
アツ,1,0
オト,1,0
スオ,1,0
ソヨ,1,0
テエ,1,0
パエ,1,0
トソ,1,0
モチ,1,0
チヘ,1,0
テリ,1,0
ナヴ,1,0
トギ,1,0
チグ,1,0
ロコ,1,0
イゥ,1,0
ノガ,1,0
イシュ,1,0
ゼヘ,1,0
ジセ,1,0
ダキ,1,0
リャキ,1,0
ベコ,1,0
ハブ,1,0
ヤラ,1,0
ヘリ,1,0
サデ,1,0
マド,1,0
ニィ,1,0
ショケ,1,0
チュリ,1,0
ヅテ,1,0
ギリ,1,0
シュテ,1,0
エショ,1,0
ギョツ,1,0
ヒョン,1,0
ロヴ,1,0
ジャト,1,0
ザヤ,1,0
ギョヌ,1,0
ビャガ,1,0
メゲ,1,0
ビョヴ,1,0
リゲ,1,0
ビョナ,1,0
ヨジ,1,0
ヒュノ,1,0
ビョワ,1,0
ギュノ,1,0
ニョマ,1,0
オビャ,1,0
ホギャ,1,0
スチャ,1,0
ロニャ,1,0
ロショ,1,0
ユジョ,1,0
ゾゾ,1,0
サシュ,1,0
ダゾ,1,0
プー,1,0
チギョ,1,0
デパ,1,0
ゾパ,1,0
ヂゥ,1,0
シュプ,1,0
グシュ,1,0
キャチュ,1,0
イビョ,0,1
ァメ,0,1
ビヌ,0,1
ェフ,0,1
ヒギョ,0,1
ヌピャ,0,1
ーピャ,0,1
ゴヂ,0,1
ゲヅ,0,1
ジュヂ,0,1
ギョヂ,0,1
プダ,0,1
バェ,0,1
ヒュヂ,0,1
ボェ,0,1
ィゥ,0,1
ヒュゥ,0,1
ミャァ,0,1
ボヒャ,0,1
ヂジョ,0,1
ヂヒャ,0,1
ヒュシャ,0,1
チャミャ,0,1
ビャニャ,0,1
ニョミョ,0,1
ビャニョ,0,1
ヒョジャ,0,1
ジョミャ,0,1
ギャギャ,0,1
ヒャビョ,0,1
ギュビャ,0,1
ジャピョ,0,1
