name,good,bad
ムギュ,1,0
キヴ,1,0
ゾシ,1,0
ルキュ,1,0
モラ,1,0
ドチャ,1,0
ナェ,1,0
ビオ,1,0
ニオ,1,0
チニュ,1,0
ワト,1,0
ピャニャ,1,0
ジョタ,1,0
ネマ,1,0
ギャギャ,1,0
キョダ,1,0
プヌ,1,0
テプ,1,0
ギチャ,1,0
マハ,1,0
ピウ,1,0
ウセ,1,0
ミャァ,1,0
シャェ,1,0
ギョハ,1,0
ゴラ,1,0
チス,1,0
ルダ,1,0
ネノ,1,0
ルジャ,1,0
ジャタ,1,0
リャザ,1,0
ヒュガ,1,0
ブノ,1,0
カズ,1,0
ヘト,1,0
チュネ,1,0
コゾ,1,0
ピォ,1,0
エポ,1,0
チャパ,1,0
ハダ,1,0
ネロ,1,0
モル,1,0
ケリ,1,0
ボシュ,1,0
ラニュ,1,0
ヤル,1,0
ハゼ,1,0
リョニ,1,0
クヴ,1,0
グク,1,0
ハヌ,1,0
ツシ,1,0
キャモ,1,0
ミピュ,1,0
メリ,1,0
ニダ,1,0
イゴ,1,0
マモ,1,0
パギ,1,0
ゼメ,1,0
ヒショ,1,0
ゾザ,1,0
ニュケ,1,0
カゾ,1,0
リャジョ,0,1
ヂゴ,0,1
ッユ,0,1
ヒュミョ,0,1
エェ,0,1
グギ,0,1
ヒョユ,0,1
ヒャニョ,0,1
ニュビョ,0,1
ピュジュ,0,1
ェジ,0,1
キキャ,0,1
ズカ,0,1
トィ,0,1
スァ,0,1
ヂェ,0,1
バミョ,0,1
ェギ,0,1
ヒュヒャ,0,1
ギリョ,0,1
ギュジュ,0,1
ピョビョ,0,1
ビチュ,0,1
ケベ,0,1
ワキャ,0,1
ザヂ,0,1
キュェ,0,1
ィバ,0,1
ギョゲ,0,1
ホェ,0,1
ゾヒュ,0,1
ツギュ,0,1
ビョブ,0,1
ォニョ,0,1
